,Unnamed: 0,file,age
0,12755,45_Peter_Mullan_0001.jpg,31
1,12756,37_Victor_Webster_0004.jpg,23
2,12757,45_Harry_Connick_Jr._0002.jpg,31
3,12758,43_Sarah_Silverman_0009.jpg,29
4,12759,38_Ioan_Gruffudd_0010.jpg,24
5,12760,49_Kane_Hodder_0004.jpg,35
6,12761,49_Gary_Oldman_0014.jpg,35
7,12762,32_Bianca_Kajlich_0010.jpg,18
8,12763,18_Ashley_Olsen_0005.jpg,4
9,12764,39_Mark_Wahlberg_0002.jpg,25
10,12765,25_Ashley_Greene_0005.jpg,11
11,12766,46_Eric_McCormack_0005.jpg,32
12,12767,44_Elizabeth_McGovern_0004.jpg,30
13,12768,50_Peter_Jackson_0016.jpg,36
14,12769,27_Jaimie_Alexander_0008.jpg,13
15,12771,49_Arye_Gross_0006.jpg,35
16,12772,49_Virginia_Madsen_0003.jpg,35
17,12773,28_Freida_Pinto_0009.jpg,14
18,12774,28_Adrianne_Palicki_0004.jpg,14
19,12775,29_Tara_Reid_0006.jpg,15
20,12776,48_Matthew_Broderick_0005.jpg,34
21,12777,53_Chuck_Lorre_0008.jpg,39
22,12778,39_Nathan_Fillion_0001.jpg,25
23,12779,23_Jackson_Rathbone_0012.jpg,9
24,12780,38_Portia_de_Rossi_0015.jpg,24
25,12781,32_Saffron_Burrows_0005.jpg,18
26,12782,51_David_Keith_0006.jpg,37
27,12783,28_Eva_Green_0016.jpg,14
28,12784,49_Elias_Koteas_0007.jpg,35
29,12785,17_Kirsten_Prout_0013.jpg,3
30,12786,48_Debi_Mazar_0010.jpg,34
31,12787,25_Tina_Majorino_0003.jpg,11
32,12788,44_Amy_Yasbeck_0001.jpg,30
33,12789,35_Malin_Akerman_0010.jpg,21
34,12790,33_Justin_Long_0018.jpg,19
35,12791,39_Cameron_Diaz_0003.jpg,25
36,12792,41_Eric_Bana_0004.jpg,27
37,12793,47_Marisa_Tomei_0007.jpg,33
38,12794,54_Carol_Kane_0015.jpg,40
39,12795,54_Tanya_Roberts_0015.jpg,40
40,12796,22_Lucas_Till_0008.jpg,8
41,12797,54_Joel_Coen_0001.jpg,40
42,12798,34_Joseph_Fiennes_0005.jpg,20
43,12799,61_Sharon_Osbourne_0004.jpg,47
44,12800,33_Cameron_Diaz_0013.jpg,19
45,12801,33_Lana_Parrilla_0013.jpg,19
46,12802,30_Michael_Fassbender_0001.jpg,16
47,12803,21_Diego_Boneta_0013.jpg,7
48,12804,28_Alexis_Bledel_0006.jpg,14
49,12805,60_Peter_Horton_0007.jpg,46
50,12806,28_Shawna_Waldron_0002.jpg,14
51,12807,28_Billie_Piper_0012.jpg,14
52,12808,37_Milla_Jovovich_0006.jpg,23
53,12809,21_Riley_Keough_0012.jpg,7
54,12810,37_Colin_Farrell_0004.jpg,23
